=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(N)             | Type: ConstItemNode             | Symbol: Symbol{name='N', kind=CONSTANT, scopeLevel=0}
Node: N                    | Type: IdentifierNode            | Symbol: Symbol{name='N', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(mul)        | Type: FunctionNode              | Symbol: Symbol{name='mul', kind=FUNCTION, scopeLevel=0}
Node: mul                  | Type: IdentifierNode            | Symbol: Symbol{name='mul', kind=FUNCTION, scopeLevel=0}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='N', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(N)       | Type: PathExprSegNode           | Symbol: Symbol{name='N', kind=CONSTANT, scopeLevel=0}
Node: N                    | Type: IdentifierNode            | Symbol: Symbol{name='N', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='N', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(N)       | Type: PathExprSegNode           | Symbol: Symbol{name='N', kind=CONSTANT, scopeLevel=0}
Node: N                    | Type: IdentifierNode            | Symbol: Symbol{name='N', kind=CONSTANT, scopeLevel=0}
Node: b                    | Type: IdentifierNode            | Symbol: Symbol{name='b', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='N', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(N)       | Type: PathExprSegNode           | Symbol: Symbol{name='N', kind=CONSTANT, scopeLevel=0}
