=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(V)             | Type: ConstItemNode             | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(bfs)        | Type: FunctionNode              | Symbol: Symbol{name='bfs', kind=FUNCTION, scopeLevel=0}
Node: bfs                  | Type: IdentifierNode            | Symbol: Symbol{name='bfs', kind=FUNCTION, scopeLevel=0}
Node: adj                  | Type: IdentifierNode            | Symbol: Symbol{name='adj', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: s                    | Type: IdentifierNode            | Symbol: Symbol{name='s', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: vis                  | Type: IdentifierNode            | Symbol: Symbol{name='vis', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: q                    | Type: IdentifierNode            | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: h                    | Type: IdentifierNode            | Symbol: Symbol{name='h', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: t                    | Type: IdentifierNode            | Symbol: Symbol{name='t', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(q)       | Type: PathExprSegNode           | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: q                    | Type: IdentifierNode            | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='t', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(t)       | Type: PathExprSegNode           | Symbol: Symbol{name='t', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: t                    | Type: IdentifierNode            | Symbol: Symbol{name='t', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='s', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(s)       | Type: PathExprSegNode           | Symbol: Symbol{name='s', kind=PARAMETER, scopeLevel=1}
Node: s                    | Type: IdentifierNode            | Symbol: Symbol{name='s', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='t', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(t)       | Type: PathExprSegNode           | Symbol: Symbol{name='t', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: t                    | Type: IdentifierNode            | Symbol: Symbol{name='t', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='vis', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(vis)     | Type: PathExprSegNode           | Symbol: Symbol{name='vis', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: vis                  | Type: IdentifierNode            | Symbol: Symbol{name='vis', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='s', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(s)       | Type: PathExprSegNode           | Symbol: Symbol{name='s', kind=PARAMETER, scopeLevel=1}
Node: s                    | Type: IdentifierNode            | Symbol: Symbol{name='s', kind=PARAMETER, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(q)       | Type: PathExprSegNode           | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: q                    | Type: IdentifierNode            | Symbol: Symbol{name='q', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='h', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(h)       | Type: PathExprSegNode           | Symbol: Symbol{name='h', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: h                    | Type: IdentifierNode            | Symbol: Symbol{name='h', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='h', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(h)       | Type: PathExprSegNode           | Symbol: Symbol{name='h', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: h                    | Type: IdentifierNode            | Symbol: Symbol{name='h', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: nb                   | Type: IdentifierNode            | Symbol: Symbol{name='nb', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='adj', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(adj)     | Type: PathExprSegNode           | Symbol: Symbol{name='adj', kind=PARAMETER, scopeLevel=1}
Node: adj                  | Type: IdentifierNode            | Symbol: Symbol{name='adj', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='nb', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(nb)      | Type: PathExprSegNode           | Symbol: Symbol{name='nb', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: nb                   | Type: IdentifierNode            | Symbol: Symbol{name='nb', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='vis', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(vis)     | Type: PathExprSegNode           | Symbol: Symbol{name='vis', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: vis                  | Type: IdentifierNode            | Symbol: Symbol{name='vis', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='nb', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(nb)      | Type: PathExprSegNode           | Symbol: Symbol{name='nb', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: nb                   | Type: IdentifierNode            | Symbol: Symbol{name='nb', kind=LOCAL_VARIABLE, scopeLevel=3}
