=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(HashTableEntry) | Type: StructNode                | Symbol: Symbol{name='HashTableEntry', kind=STRUCT, scopeLevel=0}
Node: HashTableEntry       | Type: IdentifierNode            | Symbol: Symbol{name='HashTableEntry', kind=STRUCT, scopeLevel=0}
Node: Field(key)           | Type: FieldNode                 | Symbol: Symbol{name='key', kind=FIELD, scopeLevel=0}
Node: key                  | Type: IdentifierNode            | Symbol: Symbol{name='key', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(value)         | Type: FieldNode                 | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(is_occupied)   | Type: FieldNode                 | Symbol: Symbol{name='is_occupied', kind=FIELD, scopeLevel=0}
Node: is_occupied          | Type: IdentifierNode            | Symbol: Symbol{name='is_occupied', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(is_deleted)    | Type: FieldNode                 | Symbol: Symbol{name='is_deleted', kind=FIELD, scopeLevel=0}
Node: is_deleted           | Type: IdentifierNode            | Symbol: Symbol{name='is_deleted', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@65b3120a) | Type: ImplNode                  | TypeSymbol: Symbol{name='HashTableEntry', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(HashTableEntry) | Type: PathExprSegNode           | Symbol: Symbol{name='HashTableEntry', kind=STRUCT, scopeLevel=0}
Node: HashTableEntry       | Type: IdentifierNode            | Symbol: Symbol{name='HashTableEntry', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: PathExprSeg(HashTableEntry) | Type: PathExprSegNode           | Symbol: Symbol{name='HashTableEntry', kind=STRUCT, scopeLevel=0}
Node: HashTableEntry       | Type: IdentifierNode            | Symbol: Symbol{name='HashTableEntry', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='HashTableEntry', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(HashTableEntry) | Type: PathExprSegNode           | Symbol: Symbol{name='HashTableEntry', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: HashTableEntry       | Type: IdentifierNode            | Symbol: Symbol{name='HashTableEntry', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(key)        | Type: FieldValNode              | Symbol: Symbol{name='key', kind=FIELD, scopeLevel=0}
Node: key                  | Type: IdentifierNode            | Symbol: Symbol{name='key', kind=FIELD, scopeLevel=0}
Node: FieldVal(value)      | Type: FieldValNode              | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: FieldVal(is_occupied) | Type: FieldValNode              | Symbol: Symbol{name='is_occupied', kind=FIELD, scopeLevel=0}
Node: is_occupied          | Type: IdentifierNode            | Symbol: Symbol{name='is_occupied', kind=FIELD, scopeLevel=0}
Node: FieldVal(is_deleted) | Type: FieldValNode              | Symbol: Symbol{name='is_deleted', kind=FIELD, scopeLevel=0}
Node: is_deleted           | Type: IdentifierNode            | Symbol: Symbol{name='is_deleted', kind=FIELD, scopeLevel=0}
Node: Function(set)        | Type: FunctionNode              | Symbol: Symbol{name='set', kind=FUNCTION, scopeLevel=1}
Node: set                  | Type: IdentifierNode            | Symbol: Symbol{name='set', kind=FUNCTION, scopeLevel=1}
Node: SelfPara             | Type: SelfParaNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: v                    | Type: IdentifierNode            | Symbol: Symbol{name='v', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: key                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='k', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(k)       | Type: PathExprSegNode           | Symbol: Symbol{name='k', kind=PARAMETER, scopeLevel=2}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=PARAMETER, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: value                | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='v', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(v)       | Type: PathExprSegNode           | Symbol: Symbol{name='v', kind=PARAMETER, scopeLevel=2}
Node: v                    | Type: IdentifierNode            | Symbol: Symbol{name='v', kind=PARAMETER, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: is_occupied          | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: is_deleted           | Type: IdentifierNode            | Symbol: null
Node: Function(delete)     | Type: FunctionNode              | Symbol: Symbol{name='delete', kind=FUNCTION, scopeLevel=1}
Node: delete               | Type: IdentifierNode            | Symbol: Symbol{name='delete', kind=FUNCTION, scopeLevel=1}
Node: SelfPara             | Type: SelfParaNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: is_occupied          | Type: IdentifierNode            | Symbol: null
