=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(HashEntry)    | Type: StructNode                | Symbol: Symbol{name='HashEntry', kind=STRUCT, scopeLevel=0}
Node: HashEntry            | Type: IdentifierNode            | Symbol: Symbol{name='HashEntry', kind=STRUCT, scopeLevel=0}
Node: Field(key)           | Type: FieldNode                 | Symbol: Symbol{name='key', kind=FIELD, scopeLevel=0}
Node: key                  | Type: IdentifierNode            | Symbol: Symbol{name='key', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(value)         | Type: FieldNode                 | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(is_occupied)   | Type: FieldNode                 | Symbol: Symbol{name='is_occupied', kind=FIELD, scopeLevel=0}
Node: is_occupied          | Type: IdentifierNode            | Symbol: Symbol{name='is_occupied', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(HashTable)    | Type: StructNode                | Symbol: Symbol{name='HashTable', kind=STRUCT, scopeLevel=0}
Node: HashTable            | Type: IdentifierNode            | Symbol: Symbol{name='HashTable', kind=STRUCT, scopeLevel=0}
Node: Field(entries)       | Type: FieldNode                 | Symbol: Symbol{name='entries', kind=FIELD, scopeLevel=0}
Node: entries              | Type: IdentifierNode            | Symbol: Symbol{name='entries', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(HashEntry) | Type: PathExprSegNode           | Symbol: Symbol{name='HashEntry', kind=STRUCT, scopeLevel=0}
Node: HashEntry            | Type: IdentifierNode            | Symbol: Symbol{name='HashEntry', kind=STRUCT, scopeLevel=0}
Node: Field(size)          | Type: FieldNode                 | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@4769b07b) | Type: ImplNode                  | TypeSymbol: Symbol{name='HashEntry', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(HashEntry) | Type: PathExprSegNode           | Symbol: Symbol{name='HashEntry', kind=STRUCT, scopeLevel=0}
Node: HashEntry            | Type: IdentifierNode            | Symbol: Symbol{name='HashEntry', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: PathExprSeg(HashEntry) | Type: PathExprSegNode           | Symbol: Symbol{name='HashEntry', kind=STRUCT, scopeLevel=0}
Node: HashEntry            | Type: IdentifierNode            | Symbol: Symbol{name='HashEntry', kind=STRUCT, scopeLevel=0}
