=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(MinHeap)      | Type: StructNode                | Symbol: Symbol{name='MinHeap', kind=STRUCT, scopeLevel=0}
Node: MinHeap              | Type: IdentifierNode            | Symbol: Symbol{name='MinHeap', kind=STRUCT, scopeLevel=0}
Node: Field(data)          | Type: FieldNode                 | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
Node: data                 | Type: IdentifierNode            | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(size)          | Type: FieldNode                 | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(capacity)      | Type: FieldNode                 | Symbol: Symbol{name='capacity', kind=FIELD, scopeLevel=0}
Node: capacity             | Type: IdentifierNode            | Symbol: Symbol{name='capacity', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@17a7cec2) | Type: ImplNode                  | TypeSymbol: Symbol{name='MinHeap', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(MinHeap) | Type: PathExprSegNode           | Symbol: Symbol{name='MinHeap', kind=STRUCT, scopeLevel=0}
Node: MinHeap              | Type: IdentifierNode            | Symbol: Symbol{name='MinHeap', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: PathExprSeg(MinHeap) | Type: PathExprSegNode           | Symbol: Symbol{name='MinHeap', kind=STRUCT, scopeLevel=0}
Node: MinHeap              | Type: IdentifierNode            | Symbol: Symbol{name='MinHeap', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='MinHeap', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(MinHeap) | Type: PathExprSegNode           | Symbol: Symbol{name='MinHeap', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: MinHeap              | Type: IdentifierNode            | Symbol: Symbol{name='MinHeap', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(data)       | Type: FieldValNode              | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
