=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(MergeSort)    | Type: StructNode                | Symbol: Symbol{name='MergeSort', kind=STRUCT, scopeLevel=0}
Node: MergeSort            | Type: IdentifierNode            | Symbol: Symbol{name='MergeSort', kind=STRUCT, scopeLevel=0}
Node: Field(data)          | Type: FieldNode                 | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
Node: data                 | Type: IdentifierNode            | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(temp)          | Type: FieldNode                 | Symbol: Symbol{name='temp', kind=FIELD, scopeLevel=0}
Node: temp                 | Type: IdentifierNode            | Symbol: Symbol{name='temp', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(size)          | Type: FieldNode                 | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@4769b07b) | Type: ImplNode                  | TypeSymbol: Symbol{name='MergeSort', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(MergeSort) | Type: PathExprSegNode           | Symbol: Symbol{name='MergeSort', kind=STRUCT, scopeLevel=0}
Node: MergeSort            | Type: IdentifierNode            | Symbol: Symbol{name='MergeSort', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: PathExprSeg(MergeSort) | Type: PathExprSegNode           | Symbol: Symbol{name='MergeSort', kind=STRUCT, scopeLevel=0}
Node: MergeSort            | Type: IdentifierNode            | Symbol: Symbol{name='MergeSort', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='MergeSort', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(MergeSort) | Type: PathExprSegNode           | Symbol: Symbol{name='MergeSort', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: MergeSort            | Type: IdentifierNode            | Symbol: Symbol{name='MergeSort', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
