=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(AVLNode)      | Type: StructNode                | Symbol: Symbol{name='AVLNode', kind=STRUCT, scopeLevel=0}
Node: AVLNode              | Type: IdentifierNode            | Symbol: Symbol{name='AVLNode', kind=STRUCT, scopeLevel=0}
Node: Field(value)         | Type: FieldNode                 | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(height)        | Type: FieldNode                 | Symbol: Symbol{name='height', kind=FIELD, scopeLevel=0}
Node: height               | Type: IdentifierNode            | Symbol: Symbol{name='height', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(left)          | Type: FieldNode                 | Symbol: Symbol{name='left', kind=FIELD, scopeLevel=0}
Node: left                 | Type: IdentifierNode            | Symbol: Symbol{name='left', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(right)         | Type: FieldNode                 | Symbol: Symbol{name='right', kind=FIELD, scopeLevel=0}
Node: right                | Type: IdentifierNode            | Symbol: Symbol{name='right', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(AVLTree)      | Type: StructNode                | Symbol: Symbol{name='AVLTree', kind=STRUCT, scopeLevel=0}
Node: AVLTree              | Type: IdentifierNode            | Symbol: Symbol{name='AVLTree', kind=STRUCT, scopeLevel=0}
Node: Field(nodes)         | Type: FieldNode                 | Symbol: Symbol{name='nodes', kind=FIELD, scopeLevel=0}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(AVLNode) | Type: PathExprSegNode           | Symbol: Symbol{name='AVLNode', kind=STRUCT, scopeLevel=0}
Node: AVLNode              | Type: IdentifierNode            | Symbol: Symbol{name='AVLNode', kind=STRUCT, scopeLevel=0}
Node: Field(root)          | Type: FieldNode                 | Symbol: Symbol{name='root', kind=FIELD, scopeLevel=0}
Node: root                 | Type: IdentifierNode            | Symbol: Symbol{name='root', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(node_count)    | Type: FieldNode                 | Symbol: Symbol{name='node_count', kind=FIELD, scopeLevel=0}
Node: node_count           | Type: IdentifierNode            | Symbol: Symbol{name='node_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@cc34f4d) | Type: ImplNode                  | TypeSymbol: Symbol{name='AVLNode', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(AVLNode) | Type: PathExprSegNode           | Symbol: Symbol{name='AVLNode', kind=STRUCT, scopeLevel=0}
Node: AVLNode              | Type: IdentifierNode            | Symbol: Symbol{name='AVLNode', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(AVLNode) | Type: PathExprSegNode           | Symbol: Symbol{name='AVLNode', kind=STRUCT, scopeLevel=0}
Node: AVLNode              | Type: IdentifierNode            | Symbol: Symbol{name='AVLNode', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='AVLNode', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(AVLNode) | Type: PathExprSegNode           | Symbol: Symbol{name='AVLNode', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: AVLNode              | Type: IdentifierNode            | Symbol: Symbol{name='AVLNode', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(value)      | Type: FieldValNode              | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='value', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(value)   | Type: PathExprSegNode           | Symbol: Symbol{name='value', kind=PARAMETER, scopeLevel=2}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=PARAMETER, scopeLevel=2}
Node: FieldVal(height)     | Type: FieldValNode              | Symbol: Symbol{name='height', kind=FIELD, scopeLevel=0}
Node: height               | Type: IdentifierNode            | Symbol: Symbol{name='height', kind=FIELD, scopeLevel=0}
Node: FieldVal(left)       | Type: FieldValNode              | Symbol: Symbol{name='left', kind=FIELD, scopeLevel=0}
Node: left                 | Type: IdentifierNode            | Symbol: Symbol{name='left', kind=FIELD, scopeLevel=0}
Node: FieldVal(right)      | Type: FieldValNode              | Symbol: Symbol{name='right', kind=FIELD, scopeLevel=0}
Node: right                | Type: IdentifierNode            | Symbol: Symbol{name='right', kind=FIELD, scopeLevel=0}
Node: Impl(for TypePathExprNode@17a7cec2) | Type: ImplNode                  | TypeSymbol: Symbol{name='AVLTree', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(AVLTree) | Type: PathExprSegNode           | Symbol: Symbol{name='AVLTree', kind=STRUCT, scopeLevel=0}
Node: AVLTree              | Type: IdentifierNode            | Symbol: Symbol{name='AVLTree', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: PathExprSeg(AVLTree) | Type: PathExprSegNode           | Symbol: Symbol{name='AVLTree', kind=STRUCT, scopeLevel=0}
Node: AVLTree              | Type: IdentifierNode            | Symbol: Symbol{name='AVLTree', kind=STRUCT, scopeLevel=0}
