=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(UnionFind)    | Type: StructNode                | Symbol: Symbol{name='UnionFind', kind=STRUCT, scopeLevel=0}
Node: UnionFind            | Type: IdentifierNode            | Symbol: Symbol{name='UnionFind', kind=STRUCT, scopeLevel=0}
Node: Field(parent)        | Type: FieldNode                 | Symbol: Symbol{name='parent', kind=FIELD, scopeLevel=0}
Node: parent               | Type: IdentifierNode            | Symbol: Symbol{name='parent', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(rank)          | Type: FieldNode                 | Symbol: Symbol{name='rank', kind=FIELD, scopeLevel=0}
Node: rank                 | Type: IdentifierNode            | Symbol: Symbol{name='rank', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(size)          | Type: FieldNode                 | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(component_count) | Type: FieldNode                 | Symbol: Symbol{name='component_count', kind=FIELD, scopeLevel=0}
Node: component_count      | Type: IdentifierNode            | Symbol: Symbol{name='component_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@17a7cec2) | Type: ImplNode                  | TypeSymbol: Symbol{name='UnionFind', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(UnionFind) | Type: PathExprSegNode           | Symbol: Symbol{name='UnionFind', kind=STRUCT, scopeLevel=0}
Node: UnionFind            | Type: IdentifierNode            | Symbol: Symbol{name='UnionFind', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(UnionFind) | Type: PathExprSegNode           | Symbol: Symbol{name='UnionFind', kind=STRUCT, scopeLevel=0}
Node: UnionFind            | Type: IdentifierNode            | Symbol: Symbol{name='UnionFind', kind=STRUCT, scopeLevel=0}
Node: uf                   | Type: IdentifierNode            | Symbol: Symbol{name='uf', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(UnionFind) | Type: PathExprSegNode           | Symbol: Symbol{name='UnionFind', kind=STRUCT, scopeLevel=0}
Node: UnionFind            | Type: IdentifierNode            | Symbol: Symbol{name='UnionFind', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='UnionFind', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(UnionFind) | Type: PathExprSegNode           | Symbol: Symbol{name='UnionFind', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: UnionFind            | Type: IdentifierNode            | Symbol: Symbol{name='UnionFind', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(parent)     | Type: FieldValNode              | Symbol: Symbol{name='parent', kind=FIELD, scopeLevel=0}
