=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(FenwickTree)  | Type: StructNode                | Symbol: Symbol{name='FenwickTree', kind=STRUCT, scopeLevel=0}
Node: FenwickTree          | Type: IdentifierNode            | Symbol: Symbol{name='FenwickTree', kind=STRUCT, scopeLevel=0}
Node: Field(tree)          | Type: FieldNode                 | Symbol: Symbol{name='tree', kind=FIELD, scopeLevel=0}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(n)             | Type: FieldNode                 | Symbol: Symbol{name='n', kind=FIELD, scopeLevel=0}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@cc34f4d) | Type: ImplNode                  | TypeSymbol: Symbol{name='FenwickTree', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(FenwickTree) | Type: PathExprSegNode           | Symbol: Symbol{name='FenwickTree', kind=STRUCT, scopeLevel=0}
Node: FenwickTree          | Type: IdentifierNode            | Symbol: Symbol{name='FenwickTree', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(FenwickTree) | Type: PathExprSegNode           | Symbol: Symbol{name='FenwickTree', kind=STRUCT, scopeLevel=0}
Node: FenwickTree          | Type: IdentifierNode            | Symbol: Symbol{name='FenwickTree', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='FenwickTree', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(FenwickTree) | Type: PathExprSegNode           | Symbol: Symbol{name='FenwickTree', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FenwickTree          | Type: IdentifierNode            | Symbol: Symbol{name='FenwickTree', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(tree)       | Type: FieldValNode              | Symbol: Symbol{name='tree', kind=FIELD, scopeLevel=0}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=FIELD, scopeLevel=0}
Node: FieldVal(n)          | Type: FieldValNode              | Symbol: Symbol{name='n', kind=FIELD, scopeLevel=0}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='size', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(size)    | Type: PathExprSegNode           | Symbol: Symbol{name='size', kind=PARAMETER, scopeLevel=2}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=PARAMETER, scopeLevel=2}
Node: Function(update)     | Type: FunctionNode              | Symbol: Symbol{name='update', kind=FUNCTION, scopeLevel=1}
Node: update               | Type: IdentifierNode            | Symbol: Symbol{name='update', kind=FUNCTION, scopeLevel=1}
Node: SelfPara             | Type: SelfParaNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: idx                  | Type: IdentifierNode            | Symbol: Symbol{name='idx', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: delta                | Type: IdentifierNode            | Symbol: Symbol{name='delta', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: index                | Type: IdentifierNode            | Symbol: Symbol{name='index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='idx', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(idx)     | Type: PathExprSegNode           | Symbol: Symbol{name='idx', kind=PARAMETER, scopeLevel=2}
Node: idx                  | Type: IdentifierNode            | Symbol: Symbol{name='idx', kind=PARAMETER, scopeLevel=2}
