=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(ECPoint)      | Type: StructNode                | Symbol: Symbol{name='ECPoint', kind=STRUCT, scopeLevel=0}
Node: ECPoint              | Type: IdentifierNode            | Symbol: Symbol{name='ECPoint', kind=STRUCT, scopeLevel=0}
Node: Field(x)             | Type: FieldNode                 | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=0}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(y)             | Type: FieldNode                 | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=0}
Node: y                    | Type: IdentifierNode            | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(is_infinity)   | Type: FieldNode                 | Symbol: Symbol{name='is_infinity', kind=FIELD, scopeLevel=0}
Node: is_infinity          | Type: IdentifierNode            | Symbol: Symbol{name='is_infinity', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@4769b07b) | Type: ImplNode                  | TypeSymbol: Symbol{name='ECPoint', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(ECPoint) | Type: PathExprSegNode           | Symbol: Symbol{name='ECPoint', kind=STRUCT, scopeLevel=0}
Node: ECPoint              | Type: IdentifierNode            | Symbol: Symbol{name='ECPoint', kind=STRUCT, scopeLevel=0}
Node: Function(copy)       | Type: FunctionNode              | Symbol: Symbol{name='copy', kind=FUNCTION, scopeLevel=1}
Node: copy                 | Type: IdentifierNode            | Symbol: Symbol{name='copy', kind=FUNCTION, scopeLevel=1}
Node: SelfPara             | Type: SelfParaNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(ECPoint) | Type: PathExprSegNode           | Symbol: Symbol{name='ECPoint', kind=STRUCT, scopeLevel=0}
Node: ECPoint              | Type: IdentifierNode            | Symbol: Symbol{name='ECPoint', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='ECPoint', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(ECPoint) | Type: PathExprSegNode           | Symbol: Symbol{name='ECPoint', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: ECPoint              | Type: IdentifierNode            | Symbol: Symbol{name='ECPoint', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(x)          | Type: FieldValNode              | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=0}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: x                    | Type: IdentifierNode            | Symbol: null
Node: FieldVal(y)          | Type: FieldValNode              | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=0}
Node: y                    | Type: IdentifierNode            | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: y                    | Type: IdentifierNode            | Symbol: null
Node: FieldVal(is_infinity) | Type: FieldValNode              | Symbol: Symbol{name='is_infinity', kind=FIELD, scopeLevel=0}
Node: is_infinity          | Type: IdentifierNode            | Symbol: Symbol{name='is_infinity', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: is_infinity          | Type: IdentifierNode            | Symbol: null
Node: Struct(Result)       | Type: StructNode                | Symbol: Symbol{name='Result', kind=STRUCT, scopeLevel=0}
Node: Result               | Type: IdentifierNode            | Symbol: Symbol{name='Result', kind=STRUCT, scopeLevel=0}
Node: Field(point)         | Type: FieldNode                 | Symbol: Symbol{name='point', kind=FIELD, scopeLevel=0}
Node: point                | Type: IdentifierNode            | Symbol: Symbol{name='point', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(ECPoint) | Type: PathExprSegNode           | Symbol: Symbol{name='ECPoint', kind=STRUCT, scopeLevel=0}
Node: ECPoint              | Type: IdentifierNode            | Symbol: Symbol{name='ECPoint', kind=STRUCT, scopeLevel=0}
Node: Field(factor)        | Type: FieldNode                 | Symbol: Symbol{name='factor', kind=FIELD, scopeLevel=0}
