=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(NumberProcessor) | Type: StructNode                | Symbol: Symbol{name='NumberProcessor', kind=STRUCT, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT, scopeLevel=0}
Node: Field(value)         | Type: FieldNode                 | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@4769b07b) | Type: ImplNode                  | TypeSymbol: Symbol{name='NumberProcessor', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT, scopeLevel=0}
Node: NumberProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='NumberProcessor', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: val                  | Type: IdentifierNode            | Symbol: Symbol{name='val', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(NumberProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='NumberProcessor', kind=STRUCT, scopeLevel=0}
