=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(TrieNode)     | Type: StructNode                | Symbol: Symbol{name='TrieNode', kind=STRUCT, scopeLevel=0}
Node: TrieNode             | Type: IdentifierNode            | Symbol: Symbol{name='TrieNode', kind=STRUCT, scopeLevel=0}
Node: Field(children)      | Type: FieldNode                 | Symbol: Symbol{name='children', kind=FIELD, scopeLevel=0}
Node: children             | Type: IdentifierNode            | Symbol: Symbol{name='children', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(failure_link)  | Type: FieldNode                 | Symbol: Symbol{name='failure_link', kind=FIELD, scopeLevel=0}
Node: failure_link         | Type: IdentifierNode            | Symbol: Symbol{name='failure_link', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(output_link)   | Type: FieldNode                 | Symbol: Symbol{name='output_link', kind=FIELD, scopeLevel=0}
Node: output_link          | Type: IdentifierNode            | Symbol: Symbol{name='output_link', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(is_end_of_word) | Type: FieldNode                 | Symbol: Symbol{name='is_end_of_word', kind=FIELD, scopeLevel=0}
Node: is_end_of_word       | Type: IdentifierNode            | Symbol: Symbol{name='is_end_of_word', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(pattern_id)    | Type: FieldNode                 | Symbol: Symbol{name='pattern_id', kind=FIELD, scopeLevel=0}
Node: pattern_id           | Type: IdentifierNode            | Symbol: Symbol{name='pattern_id', kind=FIELD, scopeLevel=0}
