=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(ZManacherNode) | Type: StructNode                | Symbol: Symbol{name='ZManacherNode', kind=STRUCT, scopeLevel=0}
Node: ZManacherNode        | Type: IdentifierNode            | Symbol: Symbol{name='ZManacherNode', kind=STRUCT, scopeLevel=0}
Node: Field(z_value)       | Type: FieldNode                 | Symbol: Symbol{name='z_value', kind=FIELD, scopeLevel=0}
Node: z_value              | Type: IdentifierNode            | Symbol: Symbol{name='z_value', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(palindrome_radius) | Type: FieldNode                 | Symbol: Symbol{name='palindrome_radius', kind=FIELD, scopeLevel=0}
Node: palindrome_radius    | Type: IdentifierNode            | Symbol: Symbol{name='palindrome_radius', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(is_palindrome_center) | Type: FieldNode                 | Symbol: Symbol{name='is_palindrome_center', kind=FIELD, scopeLevel=0}
Node: is_palindrome_center | Type: IdentifierNode            | Symbol: Symbol{name='is_palindrome_center', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(pattern_match_pos) | Type: FieldNode                 | Symbol: Symbol{name='pattern_match_pos', kind=FIELD, scopeLevel=0}
Node: pattern_match_pos    | Type: IdentifierNode            | Symbol: Symbol{name='pattern_match_pos', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(HybridAnalyzer) | Type: StructNode                | Symbol: Symbol{name='HybridAnalyzer', kind=STRUCT, scopeLevel=0}
Node: HybridAnalyzer       | Type: IdentifierNode            | Symbol: Symbol{name='HybridAnalyzer', kind=STRUCT, scopeLevel=0}
Node: Field(text)          | Type: FieldNode                 | Symbol: Symbol{name='text', kind=FIELD, scopeLevel=0}
