=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(SuffixArrayElement) | Type: StructNode                | Symbol: Symbol{name='SuffixArrayElement', kind=STRUCT, scopeLevel=0}
Node: SuffixArrayElement   | Type: IdentifierNode            | Symbol: Symbol{name='SuffixArrayElement', kind=STRUCT, scopeLevel=0}
Node: Field(suffix_index)  | Type: FieldNode                 | Symbol: Symbol{name='suffix_index', kind=FIELD, scopeLevel=0}
Node: suffix_index         | Type: IdentifierNode            | Symbol: Symbol{name='suffix_index', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(rank_first_half) | Type: FieldNode                 | Symbol: Symbol{name='rank_first_half', kind=FIELD, scopeLevel=0}
Node: rank_first_half      | Type: IdentifierNode            | Symbol: Symbol{name='rank_first_half', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(rank_second_half) | Type: FieldNode                 | Symbol: Symbol{name='rank_second_half', kind=FIELD, scopeLevel=0}
Node: rank_second_half     | Type: IdentifierNode            | Symbol: Symbol{name='rank_second_half', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(lcp_with_next) | Type: FieldNode                 | Symbol: Symbol{name='lcp_with_next', kind=FIELD, scopeLevel=0}
Node: lcp_with_next        | Type: IdentifierNode            | Symbol: Symbol{name='lcp_with_next', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(SuffixLCPProcessor) | Type: StructNode                | Symbol: Symbol{name='SuffixLCPProcessor', kind=STRUCT, scopeLevel=0}
Node: SuffixLCPProcessor   | Type: IdentifierNode            | Symbol: Symbol{name='SuffixLCPProcessor', kind=STRUCT, scopeLevel=0}
Node: Field(text)          | Type: FieldNode                 | Symbol: Symbol{name='text', kind=FIELD, scopeLevel=0}
Node: text                 | Type: IdentifierNode            | Symbol: Symbol{name='text', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(length)        | Type: FieldNode                 | Symbol: Symbol{name='length', kind=FIELD, scopeLevel=0}
Node: length               | Type: IdentifierNode            | Symbol: Symbol{name='length', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(suffix_array)  | Type: FieldNode                 | Symbol: Symbol{name='suffix_array', kind=FIELD, scopeLevel=0}
Node: suffix_array         | Type: IdentifierNode            | Symbol: Symbol{name='suffix_array', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(rank_array)    | Type: FieldNode                 | Symbol: Symbol{name='rank_array', kind=FIELD, scopeLevel=0}
Node: rank_array           | Type: IdentifierNode            | Symbol: Symbol{name='rank_array', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(temp_rank)     | Type: FieldNode                 | Symbol: Symbol{name='temp_rank', kind=FIELD, scopeLevel=0}
Node: temp_rank            | Type: IdentifierNode            | Symbol: Symbol{name='temp_rank', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(lcp_array)     | Type: FieldNode                 | Symbol: Symbol{name='lcp_array', kind=FIELD, scopeLevel=0}
Node: lcp_array            | Type: IdentifierNode            | Symbol: Symbol{name='lcp_array', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(bucket_count)  | Type: FieldNode                 | Symbol: Symbol{name='bucket_count', kind=FIELD, scopeLevel=0}
Node: bucket_count         | Type: IdentifierNode            | Symbol: Symbol{name='bucket_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(suffix_elements) | Type: FieldNode                 | Symbol: Symbol{name='suffix_elements', kind=FIELD, scopeLevel=0}
Node: suffix_elements      | Type: IdentifierNode            | Symbol: Symbol{name='suffix_elements', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(SuffixArrayElement) | Type: PathExprSegNode           | Symbol: Symbol{name='SuffixArrayElement', kind=STRUCT, scopeLevel=0}
Node: SuffixArrayElement   | Type: IdentifierNode            | Symbol: Symbol{name='SuffixArrayElement', kind=STRUCT, scopeLevel=0}
Node: Function(counting_sort_suffixes) | Type: FunctionNode              | Symbol: Symbol{name='counting_sort_suffixes', kind=FUNCTION, scopeLevel=0}
Node: counting_sort_suffixes | Type: IdentifierNode            | Symbol: Symbol{name='counting_sort_suffixes', kind=FUNCTION, scopeLevel=0}
Node: processor            | Type: IdentifierNode            | Symbol: Symbol{name='processor', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(SuffixLCPProcessor) | Type: PathExprSegNode           | Symbol: Symbol{name='SuffixLCPProcessor', kind=STRUCT, scopeLevel=0}
Node: SuffixLCPProcessor   | Type: IdentifierNode            | Symbol: Symbol{name='SuffixLCPProcessor', kind=STRUCT, scopeLevel=0}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: sort_by_second       | Type: IdentifierNode            | Symbol: Symbol{name='sort_by_second', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
