=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(MAXN)          | Type: ConstItemNode             | Symbol: Symbol{name='MAXN', kind=CONSTANT, scopeLevel=0}
Node: MAXN                 | Type: IdentifierNode            | Symbol: Symbol{name='MAXN', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(TreeNode)     | Type: StructNode                | Symbol: Symbol{name='TreeNode', kind=STRUCT, scopeLevel=0}
Node: TreeNode             | Type: IdentifierNode            | Symbol: Symbol{name='TreeNode', kind=STRUCT, scopeLevel=0}
Node: Field(parent)        | Type: FieldNode                 | Symbol: Symbol{name='parent', kind=FIELD, scopeLevel=0}
Node: parent               | Type: IdentifierNode            | Symbol: Symbol{name='parent', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(children)      | Type: FieldNode                 | Symbol: Symbol{name='children', kind=FIELD, scopeLevel=0}
Node: children             | Type: IdentifierNode            | Symbol: Symbol{name='children', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(child_count)   | Type: FieldNode                 | Symbol: Symbol{name='child_count', kind=FIELD, scopeLevel=0}
Node: child_count          | Type: IdentifierNode            | Symbol: Symbol{name='child_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(subtree_size)  | Type: FieldNode                 | Symbol: Symbol{name='subtree_size', kind=FIELD, scopeLevel=0}
Node: subtree_size         | Type: IdentifierNode            | Symbol: Symbol{name='subtree_size', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(heavy_child)   | Type: FieldNode                 | Symbol: Symbol{name='heavy_child', kind=FIELD, scopeLevel=0}
Node: heavy_child          | Type: IdentifierNode            | Symbol: Symbol{name='heavy_child', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(chain_id)      | Type: FieldNode                 | Symbol: Symbol{name='chain_id', kind=FIELD, scopeLevel=0}
Node: chain_id             | Type: IdentifierNode            | Symbol: Symbol{name='chain_id', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(depth)         | Type: FieldNode                 | Symbol: Symbol{name='depth', kind=FIELD, scopeLevel=0}
Node: depth                | Type: IdentifierNode            | Symbol: Symbol{name='depth', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(value)         | Type: FieldNode                 | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(path_sum)      | Type: FieldNode                 | Symbol: Symbol{name='path_sum', kind=FIELD, scopeLevel=0}
