=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(P)             | Type: ConstItemNode             | Symbol: Symbol{name='P', kind=CONSTANT, scopeLevel=0}
Node: P                    | Type: IdentifierNode            | Symbol: Symbol{name='P', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(WalshHadamardProcessor) | Type: StructNode                | Symbol: Symbol{name='WalshHadamardProcessor', kind=STRUCT, scopeLevel=0}
Node: WalshHadamardProcessor | Type: IdentifierNode            | Symbol: Symbol{name='WalshHadamardProcessor', kind=STRUCT, scopeLevel=0}
Node: Field(input_array)   | Type: FieldNode                 | Symbol: Symbol{name='input_array', kind=FIELD, scopeLevel=0}
Node: input_array          | Type: IdentifierNode            | Symbol: Symbol{name='input_array', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(output_array)  | Type: FieldNode                 | Symbol: Symbol{name='output_array', kind=FIELD, scopeLevel=0}
Node: output_array         | Type: IdentifierNode            | Symbol: Symbol{name='output_array', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(temp_array)    | Type: FieldNode                 | Symbol: Symbol{name='temp_array', kind=FIELD, scopeLevel=0}
Node: temp_array           | Type: IdentifierNode            | Symbol: Symbol{name='temp_array', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(convolution_result) | Type: FieldNode                 | Symbol: Symbol{name='convolution_result', kind=FIELD, scopeLevel=0}
Node: convolution_result   | Type: IdentifierNode            | Symbol: Symbol{name='convolution_result', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(size)          | Type: FieldNode                 | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(log_size)      | Type: FieldNode                 | Symbol: Symbol{name='log_size', kind=FIELD, scopeLevel=0}
