=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(Matrix)       | Type: StructNode                | Symbol: Symbol{name='Matrix', kind=STRUCT, scopeLevel=0}
Node: Matrix               | Type: IdentifierNode            | Symbol: Symbol{name='Matrix', kind=STRUCT, scopeLevel=0}
Node: Field(data)          | Type: FieldNode                 | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
Node: data                 | Type: IdentifierNode            | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(rows)          | Type: FieldNode                 | Symbol: Symbol{name='rows', kind=FIELD, scopeLevel=0}
Node: rows                 | Type: IdentifierNode            | Symbol: Symbol{name='rows', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(cols)          | Type: FieldNode                 | Symbol: Symbol{name='cols', kind=FIELD, scopeLevel=0}
Node: cols                 | Type: IdentifierNode            | Symbol: Symbol{name='cols', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@70177ecd) | Type: ImplNode                  | TypeSymbol: Symbol{name='Matrix', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(Matrix)  | Type: PathExprSegNode           | Symbol: Symbol{name='Matrix', kind=STRUCT, scopeLevel=0}
Node: Matrix               | Type: IdentifierNode            | Symbol: Symbol{name='Matrix', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: c                    | Type: IdentifierNode            | Symbol: Symbol{name='c', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(Matrix)  | Type: PathExprSegNode           | Symbol: Symbol{name='Matrix', kind=STRUCT, scopeLevel=0}
Node: Matrix               | Type: IdentifierNode            | Symbol: Symbol{name='Matrix', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Matrix', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(Matrix)  | Type: PathExprSegNode           | Symbol: Symbol{name='Matrix', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: Matrix               | Type: IdentifierNode            | Symbol: Symbol{name='Matrix', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(data)       | Type: FieldValNode              | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
Node: data                 | Type: IdentifierNode            | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
Node: FieldVal(rows)       | Type: FieldValNode              | Symbol: Symbol{name='rows', kind=FIELD, scopeLevel=0}
Node: rows                 | Type: IdentifierNode            | Symbol: Symbol{name='rows', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(r)       | Type: PathExprSegNode           | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=2}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=2}
Node: FieldVal(cols)       | Type: FieldValNode              | Symbol: Symbol{name='cols', kind=FIELD, scopeLevel=0}
Node: cols                 | Type: IdentifierNode            | Symbol: Symbol{name='cols', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='c', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(c)       | Type: PathExprSegNode           | Symbol: Symbol{name='c', kind=PARAMETER, scopeLevel=2}
Node: c                    | Type: IdentifierNode            | Symbol: Symbol{name='c', kind=PARAMETER, scopeLevel=2}
Node: Function(set)        | Type: FunctionNode              | Symbol: Symbol{name='set', kind=FUNCTION, scopeLevel=1}
Node: set                  | Type: IdentifierNode            | Symbol: Symbol{name='set', kind=FUNCTION, scopeLevel=1}
Node: SelfPara             | Type: SelfParaNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: row                  | Type: IdentifierNode            | Symbol: Symbol{name='row', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
