=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(MAXN)          | Type: ConstItemNode             | Symbol: Symbol{name='MAXN', kind=CONSTANT, scopeLevel=0}
Node: MAXN                 | Type: IdentifierNode            | Symbol: Symbol{name='MAXN', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(Node)         | Type: StructNode                | Symbol: Symbol{name='Node', kind=STRUCT, scopeLevel=0}
Node: Node                 | Type: IdentifierNode            | Symbol: Symbol{name='Node', kind=STRUCT, scopeLevel=0}
Node: Field(value)         | Type: FieldNode                 | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(next)          | Type: FieldNode                 | Symbol: Symbol{name='next', kind=FIELD, scopeLevel=0}
Node: next                 | Type: IdentifierNode            | Symbol: Symbol{name='next', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(NodePool)     | Type: StructNode                | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: NodePool             | Type: IdentifierNode            | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: Field(nodes)         | Type: FieldNode                 | Symbol: Symbol{name='nodes', kind=FIELD, scopeLevel=0}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(Node)    | Type: PathExprSegNode           | Symbol: Symbol{name='Node', kind=STRUCT, scopeLevel=0}
Node: Node                 | Type: IdentifierNode            | Symbol: Symbol{name='Node', kind=STRUCT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='MAXN', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(MAXN)    | Type: PathExprSegNode           | Symbol: Symbol{name='MAXN', kind=CONSTANT, scopeLevel=0}
Node: MAXN                 | Type: IdentifierNode            | Symbol: Symbol{name='MAXN', kind=CONSTANT, scopeLevel=0}
Node: Field(size)          | Type: FieldNode                 | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@70177ecd) | Type: ImplNode                  | TypeSymbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(NodePool) | Type: PathExprSegNode           | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: NodePool             | Type: IdentifierNode            | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: PathExprSeg(SELF_TYPE) | Type: PathExprSegNode           | Symbol: Symbol{name='NodePool', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='NodePool', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(NodePool) | Type: PathExprSegNode           | Symbol: Symbol{name='NodePool', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: NodePool             | Type: IdentifierNode            | Symbol: Symbol{name='NodePool', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(nodes)      | Type: FieldValNode              | Symbol: Symbol{name='nodes', kind=FIELD, scopeLevel=0}
Node: nodes                | Type: IdentifierNode            | Symbol: Symbol{name='nodes', kind=FIELD, scopeLevel=0}
