=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(Vector2D)     | Type: StructNode                | Symbol: Symbol{name='Vector2D', kind=STRUCT, scopeLevel=0}
Node: Vector2D             | Type: IdentifierNode            | Symbol: Symbol{name='Vector2D', kind=STRUCT, scopeLevel=0}
Node: Field(x)             | Type: FieldNode                 | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=0}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(y)             | Type: FieldNode                 | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=0}
Node: y                    | Type: IdentifierNode            | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(add_vectors) | Type: FunctionNode              | Symbol: Symbol{name='add_vectors', kind=FUNCTION, scopeLevel=0}
Node: add_vectors          | Type: IdentifierNode            | Symbol: Symbol{name='add_vectors', kind=FUNCTION, scopeLevel=0}
Node: v1                   | Type: IdentifierNode            | Symbol: Symbol{name='v1', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(Vector2D) | Type: PathExprSegNode           | Symbol: Symbol{name='Vector2D', kind=STRUCT, scopeLevel=0}
Node: Vector2D             | Type: IdentifierNode            | Symbol: Symbol{name='Vector2D', kind=STRUCT, scopeLevel=0}
Node: v2                   | Type: IdentifierNode            | Symbol: Symbol{name='v2', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(Vector2D) | Type: PathExprSegNode           | Symbol: Symbol{name='Vector2D', kind=STRUCT, scopeLevel=0}
Node: Vector2D             | Type: IdentifierNode            | Symbol: Symbol{name='Vector2D', kind=STRUCT, scopeLevel=0}
Node: PathExprSeg(Vector2D) | Type: PathExprSegNode           | Symbol: Symbol{name='Vector2D', kind=STRUCT, scopeLevel=0}
Node: Vector2D             | Type: IdentifierNode            | Symbol: Symbol{name='Vector2D', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Vector2D', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(Vector2D) | Type: PathExprSegNode           | Symbol: Symbol{name='Vector2D', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: Vector2D             | Type: IdentifierNode            | Symbol: Symbol{name='Vector2D', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
