=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Enum(Priority)       | Type: EnumNode                  | Symbol: Symbol{name='Priority', kind=ENUM, scopeLevel=0}
Node: Priority             | Type: IdentifierNode            | Symbol: Symbol{name='Priority', kind=ENUM, scopeLevel=0}
Node: Low                  | Type: IdentifierNode            | Symbol: Symbol{name='Low', kind=ENUM_VARIANT_CONSTRUCTOR, scopeLevel=1}
Node: Medium               | Type: IdentifierNode            | Symbol: Symbol{name='Medium', kind=ENUM_VARIANT_CONSTRUCTOR, scopeLevel=1}
Node: High                 | Type: IdentifierNode            | Symbol: Symbol{name='High', kind=ENUM_VARIANT_CONSTRUCTOR, scopeLevel=1}
Node: Struct(Task)         | Type: StructNode                | Symbol: Symbol{name='Task', kind=STRUCT, scopeLevel=0}
Node: Task                 | Type: IdentifierNode            | Symbol: Symbol{name='Task', kind=STRUCT, scopeLevel=0}
Node: Field(id)            | Type: FieldNode                 | Symbol: Symbol{name='id', kind=FIELD, scopeLevel=0}
Node: id                   | Type: IdentifierNode            | Symbol: Symbol{name='id', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(priority)      | Type: FieldNode                 | Symbol: Symbol{name='priority', kind=FIELD, scopeLevel=0}
Node: priority             | Type: IdentifierNode            | Symbol: Symbol{name='priority', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(Priority) | Type: PathExprSegNode           | Symbol: Symbol{name='Priority', kind=ENUM, scopeLevel=0}
Node: Priority             | Type: IdentifierNode            | Symbol: Symbol{name='Priority', kind=ENUM, scopeLevel=0}
Node: Field(completed)     | Type: FieldNode                 | Symbol: Symbol{name='completed', kind=FIELD, scopeLevel=0}
Node: completed            | Type: IdentifierNode            | Symbol: Symbol{name='completed', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(initialize_tasks) | Type: FunctionNode              | Symbol: Symbol{name='initialize_tasks', kind=FUNCTION, scopeLevel=0}
Node: initialize_tasks     | Type: IdentifierNode            | Symbol: Symbol{name='initialize_tasks', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(Task)    | Type: PathExprSegNode           | Symbol: Symbol{name='Task', kind=STRUCT, scopeLevel=0}
Node: Task                 | Type: IdentifierNode            | Symbol: Symbol{name='Task', kind=STRUCT, scopeLevel=0}
Node: task1                | Type: IdentifierNode            | Symbol: Symbol{name='task1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(Task)    | Type: PathExprSegNode           | Symbol: Symbol{name='Task', kind=STRUCT, scopeLevel=0}
Node: Task                 | Type: IdentifierNode            | Symbol: Symbol{name='Task', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Task', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(Task)    | Type: PathExprSegNode           | Symbol: Symbol{name='Task', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: Task                 | Type: IdentifierNode            | Symbol: Symbol{name='Task', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(id)         | Type: FieldValNode              | Symbol: Symbol{name='id', kind=FIELD, scopeLevel=0}
Node: id                   | Type: IdentifierNode            | Symbol: Symbol{name='id', kind=FIELD, scopeLevel=0}
Node: FieldVal(priority)   | Type: FieldValNode              | Symbol: Symbol{name='priority', kind=FIELD, scopeLevel=0}
Node: priority             | Type: IdentifierNode            | Symbol: Symbol{name='priority', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='Priority', kind=ENUM, scopeLevel=0}
Node: PathExprSeg(Priority) | Type: PathExprSegNode           | Symbol: Symbol{name='Priority', kind=ENUM, scopeLevel=0}
Node: Priority             | Type: IdentifierNode            | Symbol: Symbol{name='Priority', kind=ENUM, scopeLevel=0}
Node: PathExprSeg(High)    | Type: PathExprSegNode           | Symbol: null
Node: High                 | Type: IdentifierNode            | Symbol: null
Node: FieldVal(completed)  | Type: FieldValNode              | Symbol: Symbol{name='completed', kind=FIELD, scopeLevel=0}
