=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(SortingAnalyzer) | Type: StructNode                | Symbol: Symbol{name='SortingAnalyzer', kind=STRUCT, scopeLevel=0}
Node: SortingAnalyzer      | Type: IdentifierNode            | Symbol: Symbol{name='SortingAnalyzer', kind=STRUCT, scopeLevel=0}
Node: Field(data)          | Type: FieldNode                 | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
Node: data                 | Type: IdentifierNode            | Symbol: Symbol{name='data', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(temp_array)    | Type: FieldNode                 | Symbol: Symbol{name='temp_array', kind=FIELD, scopeLevel=0}
Node: temp_array           | Type: IdentifierNode            | Symbol: Symbol{name='temp_array', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(size)          | Type: FieldNode                 | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: size                 | Type: IdentifierNode            | Symbol: Symbol{name='size', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(comparisons)   | Type: FieldNode                 | Symbol: Symbol{name='comparisons', kind=FIELD, scopeLevel=0}
Node: comparisons          | Type: IdentifierNode            | Symbol: Symbol{name='comparisons', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(swaps)         | Type: FieldNode                 | Symbol: Symbol{name='swaps', kind=FIELD, scopeLevel=0}
Node: swaps                | Type: IdentifierNode            | Symbol: Symbol{name='swaps', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
