=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(MathEngine)   | Type: StructNode                | Symbol: Symbol{name='MathEngine', kind=STRUCT, scopeLevel=0}
Node: MathEngine           | Type: IdentifierNode            | Symbol: Symbol{name='MathEngine', kind=STRUCT, scopeLevel=0}
Node: Field(matrix_a)      | Type: FieldNode                 | Symbol: Symbol{name='matrix_a', kind=FIELD, scopeLevel=0}
Node: matrix_a             | Type: IdentifierNode            | Symbol: Symbol{name='matrix_a', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(matrix_b)      | Type: FieldNode                 | Symbol: Symbol{name='matrix_b', kind=FIELD, scopeLevel=0}
Node: matrix_b             | Type: IdentifierNode            | Symbol: Symbol{name='matrix_b', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(matrix_result) | Type: FieldNode                 | Symbol: Symbol{name='matrix_result', kind=FIELD, scopeLevel=0}
Node: matrix_result        | Type: IdentifierNode            | Symbol: Symbol{name='matrix_result', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(matrix_size)   | Type: FieldNode                 | Symbol: Symbol{name='matrix_size', kind=FIELD, scopeLevel=0}
Node: matrix_size          | Type: IdentifierNode            | Symbol: Symbol{name='matrix_size', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(polynomial_coeffs) | Type: FieldNode                 | Symbol: Symbol{name='polynomial_coeffs', kind=FIELD, scopeLevel=0}
Node: polynomial_coeffs    | Type: IdentifierNode            | Symbol: Symbol{name='polynomial_coeffs', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(poly_degree)   | Type: FieldNode                 | Symbol: Symbol{name='poly_degree', kind=FIELD, scopeLevel=0}
Node: poly_degree          | Type: IdentifierNode            | Symbol: Symbol{name='poly_degree', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(roots)         | Type: FieldNode                 | Symbol: Symbol{name='roots', kind=FIELD, scopeLevel=0}
Node: roots                | Type: IdentifierNode            | Symbol: Symbol{name='roots', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(root_count)    | Type: FieldNode                 | Symbol: Symbol{name='root_count', kind=FIELD, scopeLevel=0}
Node: root_count           | Type: IdentifierNode            | Symbol: Symbol{name='root_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(function_values) | Type: FieldNode                 | Symbol: Symbol{name='function_values', kind=FIELD, scopeLevel=0}
Node: function_values      | Type: IdentifierNode            | Symbol: Symbol{name='function_values', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(integration_points) | Type: FieldNode                 | Symbol: Symbol{name='integration_points', kind=FIELD, scopeLevel=0}
Node: integration_points   | Type: IdentifierNode            | Symbol: Symbol{name='integration_points', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(integration_results) | Type: FieldNode                 | Symbol: Symbol{name='integration_results', kind=FIELD, scopeLevel=0}
Node: integration_results  | Type: IdentifierNode            | Symbol: Symbol{name='integration_results', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
