=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(StringProcessor) | Type: StructNode                | Symbol: Symbol{name='StringProcessor', kind=STRUCT, scopeLevel=0}
Node: StringProcessor      | Type: IdentifierNode            | Symbol: Symbol{name='StringProcessor', kind=STRUCT, scopeLevel=0}
Node: Field(text)          | Type: FieldNode                 | Symbol: Symbol{name='text', kind=FIELD, scopeLevel=0}
Node: text                 | Type: IdentifierNode            | Symbol: Symbol{name='text', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(text_length)   | Type: FieldNode                 | Symbol: Symbol{name='text_length', kind=FIELD, scopeLevel=0}
Node: text_length          | Type: IdentifierNode            | Symbol: Symbol{name='text_length', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(patterns)      | Type: FieldNode                 | Symbol: Symbol{name='patterns', kind=FIELD, scopeLevel=0}
Node: patterns             | Type: IdentifierNode            | Symbol: Symbol{name='patterns', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(pattern_lengths) | Type: FieldNode                 | Symbol: Symbol{name='pattern_lengths', kind=FIELD, scopeLevel=0}
Node: pattern_lengths      | Type: IdentifierNode            | Symbol: Symbol{name='pattern_lengths', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(pattern_count) | Type: FieldNode                 | Symbol: Symbol{name='pattern_count', kind=FIELD, scopeLevel=0}
Node: pattern_count        | Type: IdentifierNode            | Symbol: Symbol{name='pattern_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(suffix_array)  | Type: FieldNode                 | Symbol: Symbol{name='suffix_array', kind=FIELD, scopeLevel=0}
Node: suffix_array         | Type: IdentifierNode            | Symbol: Symbol{name='suffix_array', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(lcp_array)     | Type: FieldNode                 | Symbol: Symbol{name='lcp_array', kind=FIELD, scopeLevel=0}
Node: lcp_array            | Type: IdentifierNode            | Symbol: Symbol{name='lcp_array', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(rank_array)    | Type: FieldNode                 | Symbol: Symbol{name='rank_array', kind=FIELD, scopeLevel=0}
Node: rank_array           | Type: IdentifierNode            | Symbol: Symbol{name='rank_array', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(lps)           | Type: FieldNode                 | Symbol: Symbol{name='lps', kind=FIELD, scopeLevel=0}
Node: lps                  | Type: IdentifierNode            | Symbol: Symbol{name='lps', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(bad_char)      | Type: FieldNode                 | Symbol: Symbol{name='bad_char', kind=FIELD, scopeLevel=0}
Node: bad_char             | Type: IdentifierNode            | Symbol: Symbol{name='bad_char', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(good_suffix)   | Type: FieldNode                 | Symbol: Symbol{name='good_suffix', kind=FIELD, scopeLevel=0}
Node: good_suffix          | Type: IdentifierNode            | Symbol: Symbol{name='good_suffix', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(pattern_hash)  | Type: FieldNode                 | Symbol: Symbol{name='pattern_hash', kind=FIELD, scopeLevel=0}
Node: pattern_hash         | Type: IdentifierNode            | Symbol: Symbol{name='pattern_hash', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(text_hash)     | Type: FieldNode                 | Symbol: Symbol{name='text_hash', kind=FIELD, scopeLevel=0}
Node: text_hash            | Type: IdentifierNode            | Symbol: Symbol{name='text_hash', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(base)          | Type: FieldNode                 | Symbol: Symbol{name='base', kind=FIELD, scopeLevel=0}
Node: base                 | Type: IdentifierNode            | Symbol: Symbol{name='base', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(mod_value)     | Type: FieldNode                 | Symbol: Symbol{name='mod_value', kind=FIELD, scopeLevel=0}
Node: mod_value            | Type: IdentifierNode            | Symbol: Symbol{name='mod_value', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(dp_matrix)     | Type: FieldNode                 | Symbol: Symbol{name='dp_matrix', kind=FIELD, scopeLevel=0}
Node: dp_matrix            | Type: IdentifierNode            | Symbol: Symbol{name='dp_matrix', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(char_frequency) | Type: FieldNode                 | Symbol: Symbol{name='char_frequency', kind=FIELD, scopeLevel=0}
Node: char_frequency       | Type: IdentifierNode            | Symbol: Symbol{name='char_frequency', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(huffman_codes) | Type: FieldNode                 | Symbol: Symbol{name='huffman_codes', kind=FIELD, scopeLevel=0}
Node: huffman_codes        | Type: IdentifierNode            | Symbol: Symbol{name='huffman_codes', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(code_lengths)  | Type: FieldNode                 | Symbol: Symbol{name='code_lengths', kind=FIELD, scopeLevel=0}
Node: code_lengths         | Type: IdentifierNode            | Symbol: Symbol{name='code_lengths', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(word_count)    | Type: FieldNode                 | Symbol: Symbol{name='word_count', kind=FIELD, scopeLevel=0}
Node: word_count           | Type: IdentifierNode            | Symbol: Symbol{name='word_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(sentence_count) | Type: FieldNode                 | Symbol: Symbol{name='sentence_count', kind=FIELD, scopeLevel=0}
Node: sentence_count       | Type: IdentifierNode            | Symbol: Symbol{name='sentence_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(paragraph_count) | Type: FieldNode                 | Symbol: Symbol{name='paragraph_count', kind=FIELD, scopeLevel=0}
Node: paragraph_count      | Type: IdentifierNode            | Symbol: Symbol{name='paragraph_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(unique_chars)  | Type: FieldNode                 | Symbol: Symbol{name='unique_chars', kind=FIELD, scopeLevel=0}
