=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(MAXN)          | Type: ConstItemNode             | Symbol: Symbol{name='MAXN', kind=CONSTANT, scopeLevel=0}
Node: MAXN                 | Type: IdentifierNode            | Symbol: Symbol{name='MAXN', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(LOG_MAXN)      | Type: ConstItemNode             | Symbol: Symbol{name='LOG_MAXN', kind=CONSTANT, scopeLevel=0}
Node: LOG_MAXN             | Type: IdentifierNode            | Symbol: Symbol{name='LOG_MAXN', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(MAXSEG)        | Type: ConstItemNode             | Symbol: Symbol{name='MAXSEG', kind=CONSTANT, scopeLevel=0}
Node: MAXSEG               | Type: IdentifierNode            | Symbol: Symbol{name='MAXSEG', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(Food)         | Type: StructNode                | Symbol: Symbol{name='Food', kind=STRUCT, scopeLevel=0}
Node: Food                 | Type: IdentifierNode            | Symbol: Symbol{name='Food', kind=STRUCT, scopeLevel=0}
Node: Field(cnt)           | Type: FieldNode                 | Symbol: Symbol{name='cnt', kind=FIELD, scopeLevel=0}
Node: cnt                  | Type: IdentifierNode            | Symbol: Symbol{name='cnt', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(ty)            | Type: FieldNode                 | Symbol: Symbol{name='ty', kind=FIELD, scopeLevel=0}
Node: ty                   | Type: IdentifierNode            | Symbol: Symbol{name='ty', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@6f539caf) | Type: ImplNode                  | TypeSymbol: Symbol{name='Food', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(Food)    | Type: PathExprSegNode           | Symbol: Symbol{name='Food', kind=STRUCT, scopeLevel=0}
Node: Food                 | Type: IdentifierNode            | Symbol: Symbol{name='Food', kind=STRUCT, scopeLevel=0}
Node: Function(better)     | Type: FunctionNode              | Symbol: Symbol{name='better', kind=FUNCTION, scopeLevel=1}
Node: better               | Type: IdentifierNode            | Symbol: Symbol{name='better', kind=FUNCTION, scopeLevel=1}
Node: SelfPara             | Type: SelfParaNode              | Symbol: Symbol{name='self', kind=PARAMETER, scopeLevel=2}
Node: other                | Type: IdentifierNode            | Symbol: Symbol{name='other', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(Food)    | Type: PathExprSegNode           | Symbol: Symbol{name='Food', kind=STRUCT, scopeLevel=0}
Node: Food                 | Type: IdentifierNode            | Symbol: Symbol{name='Food', kind=STRUCT, scopeLevel=0}
Node: PathExprSeg(Food)    | Type: PathExprSegNode           | Symbol: Symbol{name='Food', kind=STRUCT, scopeLevel=0}
Node: Food                 | Type: IdentifierNode            | Symbol: Symbol{name='Food', kind=STRUCT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=PARAMETER, scopeLevel=2}
Node: cnt                  | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='other', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(other)   | Type: PathExprSegNode           | Symbol: Symbol{name='other', kind=PARAMETER, scopeLevel=2}
Node: other                | Type: IdentifierNode            | Symbol: Symbol{name='other', kind=PARAMETER, scopeLevel=2}
