=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(REGISTER_COUNT) | Type: ConstItemNode             | Symbol: Symbol{name='REGISTER_COUNT', kind=CONSTANT, scopeLevel=0}
Node: REGISTER_COUNT       | Type: IdentifierNode            | Symbol: Symbol{name='REGISTER_COUNT', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(MEMORY_SIZE)   | Type: ConstItemNode             | Symbol: Symbol{name='MEMORY_SIZE', kind=CONSTANT, scopeLevel=0}
Node: MEMORY_SIZE          | Type: IdentifierNode            | Symbol: Symbol{name='MEMORY_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(STACK_SIZE)    | Type: ConstItemNode             | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: STACK_SIZE           | Type: IdentifierNode            | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(init_vm)    | Type: FunctionNode              | Symbol: Symbol{name='init_vm', kind=FUNCTION, scopeLevel=0}
Node: init_vm              | Type: IdentifierNode            | Symbol: Symbol{name='init_vm', kind=FUNCTION, scopeLevel=0}
Node: registers            | Type: IdentifierNode            | Symbol: Symbol{name='registers', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: memory               | Type: IdentifierNode            | Symbol: Symbol{name='memory', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: stack                | Type: IdentifierNode            | Symbol: Symbol{name='stack', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: pc                   | Type: IdentifierNode            | Symbol: Symbol{name='pc', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: sp                   | Type: IdentifierNode            | Symbol: Symbol{name='sp', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
