=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(STACK_SIZE)    | Type: ConstItemNode             | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: STACK_SIZE           | Type: IdentifierNode            | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(PROG_MEM_SIZE) | Type: ConstItemNode             | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PROG_MEM_SIZE        | Type: IdentifierNode            | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(PUSH)          | Type: ConstItemNode             | Symbol: Symbol{name='PUSH', kind=CONSTANT, scopeLevel=0}
Node: PUSH                 | Type: IdentifierNode            | Symbol: Symbol{name='PUSH', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(POP)           | Type: ConstItemNode             | Symbol: Symbol{name='POP', kind=CONSTANT, scopeLevel=0}
Node: POP                  | Type: IdentifierNode            | Symbol: Symbol{name='POP', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(ADD)           | Type: ConstItemNode             | Symbol: Symbol{name='ADD', kind=CONSTANT, scopeLevel=0}
Node: ADD                  | Type: IdentifierNode            | Symbol: Symbol{name='ADD', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(SUB)           | Type: ConstItemNode             | Symbol: Symbol{name='SUB', kind=CONSTANT, scopeLevel=0}
Node: SUB                  | Type: IdentifierNode            | Symbol: Symbol{name='SUB', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(MUL)           | Type: ConstItemNode             | Symbol: Symbol{name='MUL', kind=CONSTANT, scopeLevel=0}
Node: MUL                  | Type: IdentifierNode            | Symbol: Symbol{name='MUL', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(DIV)           | Type: ConstItemNode             | Symbol: Symbol{name='DIV', kind=CONSTANT, scopeLevel=0}
Node: DIV                  | Type: IdentifierNode            | Symbol: Symbol{name='DIV', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(EQ)            | Type: ConstItemNode             | Symbol: Symbol{name='EQ', kind=CONSTANT, scopeLevel=0}
Node: EQ                   | Type: IdentifierNode            | Symbol: Symbol{name='EQ', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(LT)            | Type: ConstItemNode             | Symbol: Symbol{name='LT', kind=CONSTANT, scopeLevel=0}
Node: LT                   | Type: IdentifierNode            | Symbol: Symbol{name='LT', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(GT)            | Type: ConstItemNode             | Symbol: Symbol{name='GT', kind=CONSTANT, scopeLevel=0}
Node: GT                   | Type: IdentifierNode            | Symbol: Symbol{name='GT', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(JMP)           | Type: ConstItemNode             | Symbol: Symbol{name='JMP', kind=CONSTANT, scopeLevel=0}
Node: JMP                  | Type: IdentifierNode            | Symbol: Symbol{name='JMP', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(JZ)            | Type: ConstItemNode             | Symbol: Symbol{name='JZ', kind=CONSTANT, scopeLevel=0}
Node: JZ                   | Type: IdentifierNode            | Symbol: Symbol{name='JZ', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(JNZ)           | Type: ConstItemNode             | Symbol: Symbol{name='JNZ', kind=CONSTANT, scopeLevel=0}
Node: JNZ                  | Type: IdentifierNode            | Symbol: Symbol{name='JNZ', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(CALL)          | Type: ConstItemNode             | Symbol: Symbol{name='CALL', kind=CONSTANT, scopeLevel=0}
Node: CALL                 | Type: IdentifierNode            | Symbol: Symbol{name='CALL', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(RET)           | Type: ConstItemNode             | Symbol: Symbol{name='RET', kind=CONSTANT, scopeLevel=0}
Node: RET                  | Type: IdentifierNode            | Symbol: Symbol{name='RET', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(PRINT)         | Type: ConstItemNode             | Symbol: Symbol{name='PRINT', kind=CONSTANT, scopeLevel=0}
Node: PRINT                | Type: IdentifierNode            | Symbol: Symbol{name='PRINT', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(HALT)          | Type: ConstItemNode             | Symbol: Symbol{name='HALT', kind=CONSTANT, scopeLevel=0}
Node: HALT                 | Type: IdentifierNode            | Symbol: Symbol{name='HALT', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(VM)           | Type: StructNode                | Symbol: Symbol{name='VM', kind=STRUCT, scopeLevel=0}
Node: VM                   | Type: IdentifierNode            | Symbol: Symbol{name='VM', kind=STRUCT, scopeLevel=0}
Node: Field(pc)            | Type: FieldNode                 | Symbol: Symbol{name='pc', kind=FIELD, scopeLevel=0}
Node: pc                   | Type: IdentifierNode            | Symbol: Symbol{name='pc', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(sp)            | Type: FieldNode                 | Symbol: Symbol{name='sp', kind=FIELD, scopeLevel=0}
Node: sp                   | Type: IdentifierNode            | Symbol: Symbol{name='sp', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(stack)         | Type: FieldNode                 | Symbol: Symbol{name='stack', kind=FIELD, scopeLevel=0}
Node: stack                | Type: IdentifierNode            | Symbol: Symbol{name='stack', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(STACK_SIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: STACK_SIZE           | Type: IdentifierNode            | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: Field(program)       | Type: FieldNode                 | Symbol: Symbol{name='program', kind=FIELD, scopeLevel=0}
Node: program              | Type: IdentifierNode            | Symbol: Symbol{name='program', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(PROG_MEM_SIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PROG_MEM_SIZE        | Type: IdentifierNode            | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: vm                   | Type: IdentifierNode            | Symbol: Symbol{name='vm', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(VM)      | Type: PathExprSegNode           | Symbol: Symbol{name='VM', kind=STRUCT, scopeLevel=0}
Node: VM                   | Type: IdentifierNode            | Symbol: Symbol{name='VM', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='VM', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(VM)      | Type: PathExprSegNode           | Symbol: Symbol{name='VM', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: VM                   | Type: IdentifierNode            | Symbol: Symbol{name='VM', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(pc)         | Type: FieldValNode              | Symbol: Symbol{name='pc', kind=FIELD, scopeLevel=0}
Node: pc                   | Type: IdentifierNode            | Symbol: Symbol{name='pc', kind=FIELD, scopeLevel=0}
Node: FieldVal(sp)         | Type: FieldValNode              | Symbol: Symbol{name='sp', kind=FIELD, scopeLevel=0}
Node: sp                   | Type: IdentifierNode            | Symbol: Symbol{name='sp', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(STACK_SIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: STACK_SIZE           | Type: IdentifierNode            | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: FieldVal(stack)      | Type: FieldValNode              | Symbol: Symbol{name='stack', kind=FIELD, scopeLevel=0}
Node: stack                | Type: IdentifierNode            | Symbol: Symbol{name='stack', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(STACK_SIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: STACK_SIZE           | Type: IdentifierNode            | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: FieldVal(program)    | Type: FieldValNode              | Symbol: Symbol{name='program', kind=FIELD, scopeLevel=0}
Node: program              | Type: IdentifierNode            | Symbol: Symbol{name='program', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(PROG_MEM_SIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PROG_MEM_SIZE        | Type: IdentifierNode            | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='load_program', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(load_program) | Type: PathExprSegNode           | Symbol: Symbol{name='load_program', kind=FUNCTION, scopeLevel=0}
Node: load_program         | Type: IdentifierNode            | Symbol: Symbol{name='load_program', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='vm', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(vm)      | Type: PathExprSegNode           | Symbol: Symbol{name='vm', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: vm                   | Type: IdentifierNode            | Symbol: Symbol{name='vm', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='execute', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(execute) | Type: PathExprSegNode           | Symbol: Symbol{name='execute', kind=FUNCTION, scopeLevel=0}
Node: execute              | Type: IdentifierNode            | Symbol: Symbol{name='execute', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='vm', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(vm)      | Type: PathExprSegNode           | Symbol: Symbol{name='vm', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: vm                   | Type: IdentifierNode            | Symbol: Symbol{name='vm', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(exit)    | Type: PathExprSegNode           | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: exit                 | Type: IdentifierNode            | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: Function(load_program) | Type: FunctionNode              | Symbol: Symbol{name='load_program', kind=FUNCTION, scopeLevel=0}
Node: load_program         | Type: IdentifierNode            | Symbol: Symbol{name='load_program', kind=FUNCTION, scopeLevel=0}
Node: vm                   | Type: IdentifierNode            | Symbol: Symbol{name='vm', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(VM)      | Type: PathExprSegNode           | Symbol: Symbol{name='VM', kind=STRUCT, scopeLevel=0}
Node: VM                   | Type: IdentifierNode            | Symbol: Symbol{name='VM', kind=STRUCT, scopeLevel=0}
Node: prog                 | Type: IdentifierNode            | Symbol: Symbol{name='prog', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(PROG_MEM_SIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PROG_MEM_SIZE        | Type: IdentifierNode            | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(PROG_MEM_SIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PROG_MEM_SIZE        | Type: IdentifierNode            | Symbol: Symbol{name='PROG_MEM_SIZE', kind=CONSTANT, scopeLevel=0}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='prog', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(prog)    | Type: PathExprSegNode           | Symbol: Symbol{name='prog', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: prog                 | Type: IdentifierNode            | Symbol: Symbol{name='prog', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='PUSH', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(PUSH)    | Type: PathExprSegNode           | Symbol: Symbol{name='PUSH', kind=CONSTANT, scopeLevel=0}
Node: PUSH                 | Type: IdentifierNode            | Symbol: Symbol{name='PUSH', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='prog', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(prog)    | Type: PathExprSegNode           | Symbol: Symbol{name='prog', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: prog                 | Type: IdentifierNode            | Symbol: Symbol{name='prog', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='prog', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(prog)    | Type: PathExprSegNode           | Symbol: Symbol{name='prog', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: prog                 | Type: IdentifierNode            | Symbol: Symbol{name='prog', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='PUSH', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(PUSH)    | Type: PathExprSegNode           | Symbol: Symbol{name='PUSH', kind=CONSTANT, scopeLevel=0}
