=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(NODE_POOL_SIZE) | Type: ConstItemNode             | Symbol: Symbol{name='NODE_POOL_SIZE', kind=CONSTANT, scopeLevel=0}
Node: NODE_POOL_SIZE       | Type: IdentifierNode            | Symbol: Symbol{name='NODE_POOL_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(NODE_POOL_USIZE) | Type: ConstItemNode             | Symbol: Symbol{name='NODE_POOL_USIZE', kind=CONSTANT, scopeLevel=0}
Node: NODE_POOL_USIZE      | Type: IdentifierNode            | Symbol: Symbol{name='NODE_POOL_USIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(NODE_SIZE)     | Type: ConstItemNode             | Symbol: Symbol{name='NODE_SIZE', kind=CONSTANT, scopeLevel=0}
Node: NODE_SIZE            | Type: IdentifierNode            | Symbol: Symbol{name='NODE_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(TYPE_INTERNAL) | Type: ConstItemNode             | Symbol: Symbol{name='TYPE_INTERNAL', kind=CONSTANT, scopeLevel=0}
Node: TYPE_INTERNAL        | Type: IdentifierNode            | Symbol: Symbol{name='TYPE_INTERNAL', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(TYPE_LEAF)     | Type: ConstItemNode             | Symbol: Symbol{name='TYPE_LEAF', kind=CONSTANT, scopeLevel=0}
Node: TYPE_LEAF            | Type: IdentifierNode            | Symbol: Symbol{name='TYPE_LEAF', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(Node)         | Type: StructNode                | Symbol: Symbol{name='Node', kind=STRUCT, scopeLevel=0}
Node: Node                 | Type: IdentifierNode            | Symbol: Symbol{name='Node', kind=STRUCT, scopeLevel=0}
Node: Field(node_type)     | Type: FieldNode                 | Symbol: Symbol{name='node_type', kind=FIELD, scopeLevel=0}
Node: node_type            | Type: IdentifierNode            | Symbol: Symbol{name='node_type', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(value)         | Type: FieldNode                 | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(left)          | Type: FieldNode                 | Symbol: Symbol{name='left', kind=FIELD, scopeLevel=0}
Node: left                 | Type: IdentifierNode            | Symbol: Symbol{name='left', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(right)         | Type: FieldNode                 | Symbol: Symbol{name='right', kind=FIELD, scopeLevel=0}
Node: right                | Type: IdentifierNode            | Symbol: Symbol{name='right', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(Tree)         | Type: StructNode                | Symbol: Symbol{name='Tree', kind=STRUCT, scopeLevel=0}
Node: Tree                 | Type: IdentifierNode            | Symbol: Symbol{name='Tree', kind=STRUCT, scopeLevel=0}
Node: Field(pool)          | Type: FieldNode                 | Symbol: Symbol{name='pool', kind=FIELD, scopeLevel=0}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(Node)    | Type: PathExprSegNode           | Symbol: Symbol{name='Node', kind=STRUCT, scopeLevel=0}
Node: Node                 | Type: IdentifierNode            | Symbol: Symbol{name='Node', kind=STRUCT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NODE_POOL_USIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(NODE_POOL_USIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='NODE_POOL_USIZE', kind=CONSTANT, scopeLevel=0}
Node: NODE_POOL_USIZE      | Type: IdentifierNode            | Symbol: Symbol{name='NODE_POOL_USIZE', kind=CONSTANT, scopeLevel=0}
Node: Field(root)          | Type: FieldNode                 | Symbol: Symbol{name='root', kind=FIELD, scopeLevel=0}
Node: root                 | Type: IdentifierNode            | Symbol: Symbol{name='root', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(next_free)     | Type: FieldNode                 | Symbol: Symbol{name='next_free', kind=FIELD, scopeLevel=0}
Node: next_free            | Type: IdentifierNode            | Symbol: Symbol{name='next_free', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(Tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='Tree', kind=STRUCT, scopeLevel=0}
Node: Tree                 | Type: IdentifierNode            | Symbol: Symbol{name='Tree', kind=STRUCT, scopeLevel=0}
