=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(MEMORY_SIZE)   | Type: ConstItemNode             | Symbol: Symbol{name='MEMORY_SIZE', kind=CONSTANT, scopeLevel=0}
Node: MEMORY_SIZE          | Type: IdentifierNode            | Symbol: Symbol{name='MEMORY_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(STACK_SIZE)    | Type: ConstItemNode             | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: STACK_SIZE           | Type: IdentifierNode            | Symbol: Symbol{name='STACK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(HALT)          | Type: ConstItemNode             | Symbol: Symbol{name='HALT', kind=CONSTANT, scopeLevel=0}
Node: HALT                 | Type: IdentifierNode            | Symbol: Symbol{name='HALT', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(PUSH)          | Type: ConstItemNode             | Symbol: Symbol{name='PUSH', kind=CONSTANT, scopeLevel=0}
Node: PUSH                 | Type: IdentifierNode            | Symbol: Symbol{name='PUSH', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(POP)           | Type: ConstItemNode             | Symbol: Symbol{name='POP', kind=CONSTANT, scopeLevel=0}
Node: POP                  | Type: IdentifierNode            | Symbol: Symbol{name='POP', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(ADD)           | Type: ConstItemNode             | Symbol: Symbol{name='ADD', kind=CONSTANT, scopeLevel=0}
Node: ADD                  | Type: IdentifierNode            | Symbol: Symbol{name='ADD', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(SUB)           | Type: ConstItemNode             | Symbol: Symbol{name='SUB', kind=CONSTANT, scopeLevel=0}
Node: SUB                  | Type: IdentifierNode            | Symbol: Symbol{name='SUB', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(MUL)           | Type: ConstItemNode             | Symbol: Symbol{name='MUL', kind=CONSTANT, scopeLevel=0}
Node: MUL                  | Type: IdentifierNode            | Symbol: Symbol{name='MUL', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(DIV)           | Type: ConstItemNode             | Symbol: Symbol{name='DIV', kind=CONSTANT, scopeLevel=0}
Node: DIV                  | Type: IdentifierNode            | Symbol: Symbol{name='DIV', kind=CONSTANT, scopeLevel=0}
