=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(ORDER)         | Type: ConstItemNode             | Symbol: Symbol{name='ORDER', kind=CONSTANT, scopeLevel=0}
Node: ORDER                | Type: IdentifierNode            | Symbol: Symbol{name='ORDER', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(MAX_KEYS)      | Type: ConstItemNode             | Symbol: Symbol{name='MAX_KEYS', kind=CONSTANT, scopeLevel=0}
Node: MAX_KEYS             | Type: IdentifierNode            | Symbol: Symbol{name='MAX_KEYS', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='ORDER', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(ORDER)   | Type: PathExprSegNode           | Symbol: Symbol{name='ORDER', kind=CONSTANT, scopeLevel=0}
Node: ORDER                | Type: IdentifierNode            | Symbol: Symbol{name='ORDER', kind=CONSTANT, scopeLevel=0}
Node: Const(MIN_KEYS)      | Type: ConstItemNode             | Symbol: Symbol{name='MIN_KEYS', kind=CONSTANT, scopeLevel=0}
Node: MIN_KEYS             | Type: IdentifierNode            | Symbol: Symbol{name='MIN_KEYS', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='ORDER', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(ORDER)   | Type: PathExprSegNode           | Symbol: Symbol{name='ORDER', kind=CONSTANT, scopeLevel=0}
Node: ORDER                | Type: IdentifierNode            | Symbol: Symbol{name='ORDER', kind=CONSTANT, scopeLevel=0}
Node: Const(POOL_SIZE)     | Type: ConstItemNode             | Symbol: Symbol{name='POOL_SIZE', kind=CONSTANT, scopeLevel=0}
Node: POOL_SIZE            | Type: IdentifierNode            | Symbol: Symbol{name='POOL_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(Pools)        | Type: StructNode                | Symbol: Symbol{name='Pools', kind=STRUCT, scopeLevel=0}
Node: Pools                | Type: IdentifierNode            | Symbol: Symbol{name='Pools', kind=STRUCT, scopeLevel=0}
Node: Field(node_pool_keys) | Type: FieldNode                 | Symbol: Symbol{name='node_pool_keys', kind=FIELD, scopeLevel=0}
Node: node_pool_keys       | Type: IdentifierNode            | Symbol: Symbol{name='node_pool_keys', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='POOL_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(POOL_SIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='POOL_SIZE', kind=CONSTANT, scopeLevel=0}
Node: POOL_SIZE            | Type: IdentifierNode            | Symbol: Symbol{name='POOL_SIZE', kind=CONSTANT, scopeLevel=0}
Node: Field(node_pool_children) | Type: FieldNode                 | Symbol: Symbol{name='node_pool_children', kind=FIELD, scopeLevel=0}
Node: node_pool_children   | Type: IdentifierNode            | Symbol: Symbol{name='node_pool_children', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
