=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='performMathematicalSeries', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(performMathematicalSeries) | Type: PathExprSegNode           | Symbol: Symbol{name='performMathematicalSeries', kind=FUNCTION, scopeLevel=0}
Node: performMathematicalSeries | Type: IdentifierNode            | Symbol: Symbol{name='performMathematicalSeries', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='performNumberTheoryAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(performNumberTheoryAlgorithms) | Type: PathExprSegNode           | Symbol: Symbol{name='performNumberTheoryAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: performNumberTheoryAlgorithms | Type: IdentifierNode            | Symbol: Symbol{name='performNumberTheoryAlgorithms', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='performLinearAlgebraOperations', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(performLinearAlgebraOperations) | Type: PathExprSegNode           | Symbol: Symbol{name='performLinearAlgebraOperations', kind=FUNCTION, scopeLevel=0}
Node: performLinearAlgebraOperations | Type: IdentifierNode            | Symbol: Symbol{name='performLinearAlgebraOperations', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='performCombinatorialAlgorithms', kind=FUNCTION, scopeLevel=0}
