=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(BLOCK_SIZE)    | Type: ConstItemNode             | Symbol: Symbol{name='BLOCK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: BLOCK_SIZE           | Type: IdentifierNode            | Symbol: Symbol{name='BLOCK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(NUM_BLOCKS)    | Type: ConstItemNode             | Symbol: Symbol{name='NUM_BLOCKS', kind=CONSTANT, scopeLevel=0}
Node: NUM_BLOCKS           | Type: IdentifierNode            | Symbol: Symbol{name='NUM_BLOCKS', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(FS_SIZE)       | Type: ConstItemNode             | Symbol: Symbol{name='FS_SIZE', kind=CONSTANT, scopeLevel=0}
Node: FS_SIZE              | Type: IdentifierNode            | Symbol: Symbol{name='FS_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='BLOCK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(BLOCK_SIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='BLOCK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: BLOCK_SIZE           | Type: IdentifierNode            | Symbol: Symbol{name='BLOCK_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NUM_BLOCKS', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(NUM_BLOCKS) | Type: PathExprSegNode           | Symbol: Symbol{name='NUM_BLOCKS', kind=CONSTANT, scopeLevel=0}
Node: NUM_BLOCKS           | Type: IdentifierNode            | Symbol: Symbol{name='NUM_BLOCKS', kind=CONSTANT, scopeLevel=0}
Node: Const(MAX_INODES)    | Type: ConstItemNode             | Symbol: Symbol{name='MAX_INODES', kind=CONSTANT, scopeLevel=0}
Node: MAX_INODES           | Type: IdentifierNode            | Symbol: Symbol{name='MAX_INODES', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(MAX_FILENAME_LEN) | Type: ConstItemNode             | Symbol: Symbol{name='MAX_FILENAME_LEN', kind=CONSTANT, scopeLevel=0}
Node: MAX_FILENAME_LEN     | Type: IdentifierNode            | Symbol: Symbol{name='MAX_FILENAME_LEN', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(INODE_SIZE)    | Type: ConstItemNode             | Symbol: Symbol{name='INODE_SIZE', kind=CONSTANT, scopeLevel=0}
Node: INODE_SIZE           | Type: IdentifierNode            | Symbol: Symbol{name='INODE_SIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(ROOT_INODE_NUM) | Type: ConstItemNode             | Symbol: Symbol{name='ROOT_INODE_NUM', kind=CONSTANT, scopeLevel=0}
Node: ROOT_INODE_NUM       | Type: IdentifierNode            | Symbol: Symbol{name='ROOT_INODE_NUM', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Const(INODE_TYPE_FREE) | Type: ConstItemNode             | Symbol: Symbol{name='INODE_TYPE_FREE', kind=CONSTANT, scopeLevel=0}
