=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Const(scale)         | Type: ConstItemNode             | Symbol: Symbol{name='scale', kind=CONSTANT, scopeLevel=0}
Node: scale                | Type: IdentifierNode            | Symbol: Symbol{name='scale', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: Struct(Vec3)         | Type: StructNode                | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Vec3                 | Type: IdentifierNode            | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Field(x)             | Type: FieldNode                 | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=2}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(y)             | Type: FieldNode                 | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=2}
Node: y                    | Type: IdentifierNode            | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(z)             | Type: FieldNode                 | Symbol: Symbol{name='z', kind=FIELD, scopeLevel=2}
Node: z                    | Type: IdentifierNode            | Symbol: Symbol{name='z', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(Ray)          | Type: StructNode                | Symbol: Symbol{name='Ray', kind=STRUCT, scopeLevel=2}
Node: Ray                  | Type: IdentifierNode            | Symbol: Symbol{name='Ray', kind=STRUCT, scopeLevel=2}
Node: Field(origin)        | Type: FieldNode                 | Symbol: Symbol{name='origin', kind=FIELD, scopeLevel=2}
Node: origin               | Type: IdentifierNode            | Symbol: Symbol{name='origin', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(Vec3)    | Type: PathExprSegNode           | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Vec3                 | Type: IdentifierNode            | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Field(dir)           | Type: FieldNode                 | Symbol: Symbol{name='dir', kind=FIELD, scopeLevel=2}
Node: dir                  | Type: IdentifierNode            | Symbol: Symbol{name='dir', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(Vec3)    | Type: PathExprSegNode           | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Vec3                 | Type: IdentifierNode            | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Struct(Sphere)       | Type: StructNode                | Symbol: Symbol{name='Sphere', kind=STRUCT, scopeLevel=2}
Node: Sphere               | Type: IdentifierNode            | Symbol: Symbol{name='Sphere', kind=STRUCT, scopeLevel=2}
Node: Field(center)        | Type: FieldNode                 | Symbol: Symbol{name='center', kind=FIELD, scopeLevel=2}
Node: center               | Type: IdentifierNode            | Symbol: Symbol{name='center', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(Vec3)    | Type: PathExprSegNode           | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Vec3                 | Type: IdentifierNode            | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Field(radius)        | Type: FieldNode                 | Symbol: Symbol{name='radius', kind=FIELD, scopeLevel=2}
Node: radius               | Type: IdentifierNode            | Symbol: Symbol{name='radius', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(color)         | Type: FieldNode                 | Symbol: Symbol{name='color', kind=FIELD, scopeLevel=2}
Node: color                | Type: IdentifierNode            | Symbol: Symbol{name='color', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(Vec3)    | Type: PathExprSegNode           | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Vec3                 | Type: IdentifierNode            | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Struct(Light)        | Type: StructNode                | Symbol: Symbol{name='Light', kind=STRUCT, scopeLevel=2}
Node: Light                | Type: IdentifierNode            | Symbol: Symbol{name='Light', kind=STRUCT, scopeLevel=2}
Node: Field(pos)           | Type: FieldNode                 | Symbol: Symbol{name='pos', kind=FIELD, scopeLevel=2}
Node: pos                  | Type: IdentifierNode            | Symbol: Symbol{name='pos', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(Vec3)    | Type: PathExprSegNode           | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Vec3                 | Type: IdentifierNode            | Symbol: Symbol{name='Vec3', kind=STRUCT, scopeLevel=2}
Node: Field(intensity)     | Type: FieldNode                 | Symbol: Symbol{name='intensity', kind=FIELD, scopeLevel=2}
Node: intensity            | Type: IdentifierNode            | Symbol: Symbol{name='intensity', kind=FIELD, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: screen               | Type: IdentifierNode            | Symbol: Symbol{name='screen', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: spheres              | Type: IdentifierNode            | Symbol: Symbol{name='spheres', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(Sphere)  | Type: PathExprSegNode           | Symbol: Symbol{name='Sphere', kind=STRUCT, scopeLevel=2}
Node: Sphere               | Type: IdentifierNode            | Symbol: Symbol{name='Sphere', kind=STRUCT, scopeLevel=2}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Sphere', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(Sphere)  | Type: PathExprSegNode           | Symbol: Symbol{name='Sphere', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
Node: Sphere               | Type: IdentifierNode            | Symbol: Symbol{name='Sphere', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
Node: FieldVal(center)     | Type: FieldValNode              | Symbol: Symbol{name='center', kind=FIELD, scopeLevel=2}
Node: center               | Type: IdentifierNode            | Symbol: Symbol{name='center', kind=FIELD, scopeLevel=2}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Vec3', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(Vec3)    | Type: PathExprSegNode           | Symbol: Symbol{name='Vec3', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
Node: Vec3                 | Type: IdentifierNode            | Symbol: Symbol{name='Vec3', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
Node: FieldVal(x)          | Type: FieldValNode              | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=2}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=2}
Node: FieldVal(y)          | Type: FieldValNode              | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=2}
Node: y                    | Type: IdentifierNode            | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=2}
Node: FieldVal(z)          | Type: FieldValNode              | Symbol: Symbol{name='z', kind=FIELD, scopeLevel=2}
Node: z                    | Type: IdentifierNode            | Symbol: Symbol{name='z', kind=FIELD, scopeLevel=2}
Node: FieldVal(radius)     | Type: FieldValNode              | Symbol: Symbol{name='radius', kind=FIELD, scopeLevel=2}
Node: radius               | Type: IdentifierNode            | Symbol: Symbol{name='radius', kind=FIELD, scopeLevel=2}
Node: FieldVal(color)      | Type: FieldValNode              | Symbol: Symbol{name='color', kind=FIELD, scopeLevel=2}
Node: color                | Type: IdentifierNode            | Symbol: Symbol{name='color', kind=FIELD, scopeLevel=2}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Vec3', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(Vec3)    | Type: PathExprSegNode           | Symbol: Symbol{name='Vec3', kind=STRUCT_CONSTRUCTOR, scopeLevel=2}
